name                          ,info                                                                                                                         ,symbol      ,sys_dat                                ,sys_gui                                ,category         ,source                                                   ,inter_val
bányanégyszögláb𝅴              ,selmeci bányanégyszögláb                                                                                                     ,nláb        ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,0.1134
bányanégyszögöl𝅴               ,selmeci bányanégyszögöl: 36 nláb                                                                                             ,nöl         ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,4.0864
bányanégyszögkötél𝅴            ,selmeci bányanégyszögkötél: 7*7 öl                                                                                           ,nköt.       ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,200.08
bányatelek𝅴                    ,selmeci bányatelek: 7*14 öl                                                                                                  ,tel.        ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,400.44
két bányatelek𝅴                ,két selmeci bányatelek: 7*28 öl                                                                                              ,2tel.       ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,800.91
három bányatelek𝅴              ,három selmeci bányatelek: 7*42 öl                                                                                            ,3tel.       ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,area             ,"Bogdán 1990, 47."                                       ,1201.34
aknatelek                     ,"aknatelek 1753-tól: 84*112 öl, 96 régi tel."                                                                                ,atel.       ,Selmec/Hungarian mining (mid18th c.-)  ,selmeci/magyar bányam. (18. sz. köz.–) ,area             ,"Bogdán 1990, 47."                                       ,38400.0
"""kis"" tárnatelek"          ,"tárnatelek 1792-től: 56*224 öl, 128 régi tel."                                                                              ,ttel.       ,Selmec/Hungarian mining (mid18th c.-)  ,selmeci/magyar bányam. (18. sz. köz.–) ,area             ,"Bogdán 1990, 47."                                       ,51200.0
"""nagy"" tárnatelek"         ,"tárnatelek 1753-tól: 112*224 öl, 256 régi tel."                                                                             ,ttel.       ,Selmec/Hungarian mining (mid18th c.-)  ,selmeci/magyar bányam. (18. sz. köz.–) ,area             ,"Bogdán 1990, 47."                                       ,102500.0
kőszegi icce                  ,"kőszegi szőlő földmérték icce, 1/10 ved."                                                                                   ,icce        ,Kőszeg vineyard area                   ,kőszegi szőlő földmérték               ,area             ,"Bodgán 1978, 40."                                       ,36.5
kőszegi veder                 ,"kőszegi szőlő földmérték veder, 10 icce"                                                                                    ,ved.        ,Kőszeg vineyard area                   ,kőszegi szőlő földmérték               ,area             ,"Bodgán 1978, 40."                                       ,365.4
sárvári pint                  ,"sárvári szőlő földmérték pint, 1/8 ved."                                                                                    ,pint        ,Sárvár vineyard area                   ,sárvári szőlő földmérték               ,area             ,"Bodgán 1978, 40."                                       ,74.0      
sárvári veder                 ,"sárvári szőlő földmérték veder, 8 pint"                                                                                     ,ved.        ,Sárvár vineyard area                   ,sárvári szőlő földmérték               ,area             ,"Bodgán 1978, 40."                                       ,540.0
tokaji puttony                ,"tokaji szőlő földmérték puttony, 1/5 hor."                                                                                  ,putt.       ,Tokaj vineyard area                    ,Tokaj-vidéki szőlő földmérték          ,area             ,"Bogdán 1990, 48."                                       ,122.15
