name                          ,info                                                                                                                         ,symbol      ,sys_dat                                ,sys_gui                                ,category         ,source                                                   ,inter_val
fluid ounce (US)              ,am. folyadék uncia: 8 fl dr                                                                                                  ,fl oz       ,US customary                           ,amerikai (US customary)                ,volume (liquid)  ,"Butcher, Crown, and Gentry 2006, 10."                   ,0.02957353
gill (US)                     ,am. gill: 4 fl oz (vö. brit gill: 5 fl oz)                                                                                   ,gi          ,US customary                           ,amerikai (US customary)                ,volume (liquid)  ,"Cardarelli 2003, 43."                                   ,0.11829412
pint (US)                     ,am. (folyadék) pint: 4 gi                                                                                                    ,pt (fluid)  ,US customary                           ,amerikai (US customary)                ,volume (liquid)  ,"Butcher, Crown, and Gentry 2006, 9."                    ,0.4731765
quart (US)                    ,"am. (folyadék) quart, jel. ""negyed"" (gallon), 2 pt"                                                                       ,qt (fluid)  ,US customary                           ,amerikai (US customary)                ,volume (liquid)  ,"Butcher, Crown, and Gentry 2006, 9."                    ,0.9463529
gallon (US)                   ,am. (folyadék) gallon: 4 qt                                                                                                  ,gal (fluid) ,US customary                           ,amerikai (US customary)                ,volume (liquid)  ,"Butcher, Crown, and Gentry 2006, 9."                    ,3.785412
κύαθος (kyathos)𝅴              ,"gör. hosszú fülű, kis méretű merítőpohár"                                                                                   ,kyth.       ,Attic                                  ,attikai                                ,volume (liquid)  ,"Hultsch 1882, 703, tab. X.A."                           ,0.0456
ὀξυβαφον (oxybaphon)𝅴          ,gör. mártásos csésze: 1 1/2 kyth.                                                                                            ,oxy.        ,Attic                                  ,attikai                                ,volume (liquid)  ,"Hultsch 1882, 703, tab. X.A."                           ,0.0684
τέταρτον (tetarton)𝅴           ,"aka. ἡμικοτύλιον (hémikotülion), róm quartaruisból, azzal megegyező, 3 kyth., 1/2 kot."                                     ,tetr.       ,Attic                                  ,attikai                                ,volume (liquid)  ,"Hultsch 1882, 703, tab. X.A."                           ,0.1368
κοτύλη (kotylé)𝅴               ,gör. csésze: 6 kyth.                                                                                                         ,kot.        ,Attic                                  ,attikai                                ,volume (liquid)  ,"Hultsch 1882, 703, tab. X.A."                           ,0.2736
ξέστης (xestés)𝅴               ,"róm. sextariusból, azzal megegyező, 2 kot."                                                                                 ,xes.        ,Attic                                  ,attikai                                ,volume (liquid)  ,"Hultsch 1882, 703, tab. X.A."                           ,0.547
χοῦς (chus)𝅴                   ,gör. kancsó: 12 kot.                                                                                                         ,chus        ,Attic                                  ,attikai                                ,volume (liquid)  ,"Hultsch 1882, 703, tab. X.A."                           ,3.283
μετρητής (metrétés)𝅴           ,gör. foyladékmérő: 12 choes                                                                                                  ,metr.       ,Attic                                  ,attikai                                ,volume (liquid)  ,"Hultsch 1882, 703, tab. X.A."                           ,39.39
cyathus𝅴                       ,"att. kyathosból, azzal megegyező"                                                                                           ,cyth.       ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.A."                          ,0.0456
acetabulum𝅴                    ,"att. oxybaphonból, azzal megegyező, 1 1/2 cyth."                                                                            ,actb.       ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.A."                          ,0.0684
quartarius𝅴                    ,"jel. ""negyed"" (sextarius), 3 cyth."                                                                                       ,quart.      ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.A."                          ,0.1368
hemina𝅴                        ,"att. kothyléból, azzal megegyező, 6 cyth."                                                                                  ,hem.        ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.A."                          ,0.2736
sextarius𝅴                     ,"jel. ""hatod"" (congius), 2 hem."                                                                                           ,sext.       ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.A."                          ,0.547
congius𝅴                       ,"att. chusból, azzal megegyező, 12 hem."                                                                                     ,cong.       ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.A."                          ,3.283
urna𝅴                          ,"vízmerítő edény, 4 congius, 1/2 amph."                                                                                      ,urna        ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.A."                          ,13.13
amphora𝅴                       ,1 köbláb űrtartalmú amph. aka. quadrantal.                                                                                   ,amph.       ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.A."                          ,26.26
culleus                       ,"nagyméretű bőrtömlő, 20 amph. "                                                                                             ,cull.       ,Roman                                  ,római                                  ,volume (liquid)  ,"Hultsch 1882, 704, tab. XI.B."                          ,525.3
Wiener Pfiff𝅳                  ,bécsi römpöly: 1/256 Eim.                                                                                                    ,Pfi.        ,Viennese small (-1359)                 ,bécsi kisker. (–1359)                  ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.22651
Wiener Seidel𝅳                 ,bécsi messzely: 2 Pfi.                                                                                                       ,Sei.        ,Viennese small (-1359)                 ,bécsi kisker. (–1359)                  ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.45302
Wiener Halbe (Maß)𝅳            ,bécsi icce: 2 Sei.                                                                                                           ,Hal.        ,Viennese small (-1359)                 ,bécsi kisker. (–1359)                  ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.90605
Wiener Maß𝅳                    ,bécsi pint: 2 Hal.                                                                                                           ,Maß         ,Viennese small (-1359)                 ,bécsi kisker. (–1359)                  ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,1.8126
Wiener Eimer𝅳                  ,bécsi akó: 32 Maß                                                                                                            ,Eim.        ,Viennese small (-1359)                 ,bécsi kisker. (–1359)                  ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,58.0037
Wiener Pfiff𝅴                  ,bécsi römpöly: 1/280 Eim.                                                                                                    ,Pfi.        ,Viennese small (1359-1556)             ,bécsi kisker. (1359–1556)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.20715
Wiener Seidel𝅴                 ,bécsi messzely: 2 Pfi.                                                                                                       ,Sei.        ,Viennese small (1359-1556)             ,bécsi kisker. (1359–1556)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.4143
Wiener Halbe (Maß)𝅴            ,bécsi icce: 2 Sei.                                                                                                           ,Hal.        ,Viennese small (1359-1556)             ,bécsi kisker. (1359–1556)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.8286
Wiener Maß𝅴                    ,bécsi pint: 2 Hal.                                                                                                           ,Maß         ,Viennese small (1359-1556)             ,bécsi kisker. (1359–1556)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,1.6572
Wiener Eimer𝅴                  ,bécsi akó: 35 Maß                                                                                                            ,Eim.        ,Viennese small (1359-1556)             ,bécsi kisker. (1359–1556)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,58.0037
Wiener Pfiff𝅵                  ,bécsi römpöly: 1/304 Eim.                                                                                                    ,Pfi.        ,Viennese small (1557-1568)             ,bécsi kisker. (1557–1568)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.1908
Wiener Seidel𝅵                 ,bécsi messzely: 2 Pfi.                                                                                                       ,Sei.        ,Viennese small (1557-1568)             ,bécsi kisker. (1557–1568)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.3816
Wiener Halbe (Maß)𝅵            ,bécsi icce: 2 Sei.                                                                                                           ,Hal.        ,Viennese small (1557-1568)             ,bécsi kisker. (1557–1568)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.7632
Wiener Maß𝅵                    ,bécsi pint: 2 Hal.                                                                                                           ,Maß         ,Viennese small (1557-1568)             ,bécsi kisker. (1557–1568)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,1.5264
Wiener Eimer𝅵                  ,bécsi akó: 38 Maß                                                                                                            ,Eim.        ,Viennese small (1557-1568)             ,bécsi kisker. (1557–1568)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,58.0037
Wiener Pfiff𝅶                  ,bécsi römpöly: 1/328 Eim.                                                                                                    ,Pfi.        ,Viennese small (1569-1761)             ,bécsi kisker. (1569–1761)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.17684
Wiener Seidel𝅶                 ,bécsi messzely: 2 Pfi.                                                                                                       ,Sei.        ,Viennese small (1569-1761)             ,bécsi kisker. (1569–1761)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.35368
Wiener Halbe (Maß)𝅵𝅶            ,bécsi icce: 2 Sei.                                                                                                           ,Hal.        ,Viennese small (1569-1761)             ,bécsi kisker. (1569–1761)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,0.70736
Wiener Maß𝅶                    ,bécsi pint: 2 Hal.                                                                                                           ,Maß         ,Viennese small (1569-1761)             ,bécsi kisker. (1569–1761)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,1.4147
Wiener Eimer𝅶                  ,bécsi akó: 41 Maß                                                                                                            ,Eim.        ,Viennese small (1569-1761)             ,bécsi kisker. (1569–1761)              ,volume (liquid)  ,"Bogdán 1991, 29."                                       ,58.0037
Wiener Pfiff𝅷                  ,bécsi römpöly: 1/320 Eim.                                                                                                    ,Pfi.        ,Viennese small (1762-1871)             ,bécsi kisker. (1762–1871)              ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,0.17684
Wiener Seidel𝅷                 ,bécsi messzely: 2 Pfi.                                                                                                       ,Sei.        ,Viennese small (1762-1871)             ,bécsi kisker. (1762–1871)              ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,0.35368
Wiener Halbe (Maß)𝅵𝅷            ,bécsi icce: 2 Sei.                                                                                                           ,Hal.        ,Viennese small (1762-1871)             ,bécsi kisker. (1762–1871)              ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,0.70736
Wiener Maß𝅷                    ,bécsi pint: 2 Hal.                                                                                                           ,Maß         ,Viennese small (1762-1871)             ,bécsi kisker. (1762–1871)              ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,1.41472
Wiener Eimer𝅷                  ,bécsi akó: 40 Maß                                                                                                            ,Eim.        ,Viennese small (1762-1871)             ,bécsi kisker. (1762–1871)              ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,56.489
Wiener Eimer (nagyker.)𝅳       ,bécsi (nagykereskedelmi) akó                                                                                                 ,Eim.        ,Viennese wholesale (-1761)             ,bécsi nagyker. (–1761)                 ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,58.0
Wiener Dreiling𝅳               ,bécsi dreiling: 24 Eim.                                                                                                      ,Drei.       ,Viennese wholesale (-1761)             ,bécsi nagyker. (–1761)                 ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,1392.0
Wiener Fuder𝅳                  ,bécsi fuder: 32 Eim.                                                                                                         ,Fud.        ,Viennese wholesale (-1761)             ,bécsi nagyker. (–1761)                 ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,1856.0
Wiener Eimer (nagyker)𝅴        ,bécsi (nagykereskedelmi) akó                                                                                                 ,Eim.        ,Viennese wholesale (1762-1871)         ,bécsi nagyker. (1762–1871)             ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,56.589
Wiener Bierfaß𝅴                ,bécsi söröshordó: 2 Eim.                                                                                                     ,Bfaß        ,Viennese wholesale (1762-1871)         ,bécsi nagyker. (1762–1871)             ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,113.18
Wiener Weinfaß𝅴                ,bécsi boroshordó: 10 Eim.                                                                                                    ,Wfaß        ,Viennese wholesale (1762-1871)         ,bécsi nagyker. (1762–1871)             ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,565.89
Wiener Dreiling𝅴               ,bécsi dreiling: 24 Eim.                                                                                                      ,Drei.       ,Viennese wholesale (1762-1871)         ,bécsi nagyker. (1762–1871)             ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,1697.67
Wiener Fuder𝅴                  ,bécsi fuder: 32 Eim.                                                                                                         ,Fud.        ,Viennese wholesale (1762-1871)         ,bécsi nagyker. (1762–1871)             ,volume (liquid)  ,"Bogdán 1991, 30."                                       ,1810.85
budai messzely𝅳                ,"1/4 pint, 1/32 köböl"                                                                                                       ,messz.      ,Buda (-17th c. start) (liq vol)        ,budai (–17. sz. eleje)                 ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,0.4197
budai icce𝅳                    ,2 messzely                                                                                                                   ,icce        ,Buda (-17th c. start) (liq vol)        ,budai (–17. sz. eleje)                 ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,0.8393
budai pint𝅳                    ,2 icce                                                                                                                       ,pint        ,Buda (-17th c. start) (liq vol)        ,budai (–17. sz. eleje)                 ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,1.6786
budai köböl𝅳                   ,8 pint                                                                                                                       ,köb.        ,Buda (-17th c. start) (liq vol)        ,budai (–17. sz. eleje)                 ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,13.43
budai kis akó𝅳                 ,44 icce                                                                                                                      ,k. akó      ,Buda (-17th c. start) (liq vol)        ,budai (–17. sz. eleje)                 ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,36.93
budai nagy akó𝅳                ,64 icce                                                                                                                      ,n. akó      ,Buda (-17th c. start) (liq vol)        ,budai (–17. sz. eleje)                 ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,53.72
budai messzely𝅴                ,1/4 pint                                                                                                                     ,messz.      ,Buda (17th c.-c.1730) (liq vol)        ,budai (17. sz. eleje–1730k.)           ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,0.4579
budai icce𝅴                    ,2 messz.                                                                                                                     ,icce        ,Buda (17th c.-c.1730) (liq vol)        ,budai (17. sz. eleje–1730k.)           ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,0.9157
budai pint𝅴                    ,2 icce                                                                                                                       ,pint        ,Buda (17th c.-c.1730) (liq vol)        ,budai (17. sz. eleje–1730k.)           ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,1.8314
budai köböl𝅴                   ,5 pint. A 17. század vége fele kikopik a használatból.                                                                       ,köb.        ,Buda (17th c.-c.1730) (liq vol)        ,budai (17. sz. eleje–1730k.)           ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,9.16
budai akó𝅴                     ,60 icce                                                                                                                      ,akó         ,Buda (17th c.-c.1730) (liq vol)        ,budai (17. sz. eleje–1730k.)           ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,54.94
budai messzely𝅵                ,1/4 pint                                                                                                                     ,messz.      ,Buda (c.1730-18th c. end) (liq vol)    ,budai (1730k.–18. sz. vége)            ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,0.4579
budai icce𝅵                    ,2 messz.                                                                                                                     ,icce        ,Buda (c.1730-18th c. end) (liq vol)    ,budai (1730k.–18. sz. vége)            ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,0.9157
budai pint𝅵                    ,2 icce                                                                                                                       ,pint        ,Buda (c.1730-18th c. end) (liq vol)    ,budai (1730k.–18. sz. vége)            ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,1.8314
budai akó𝅵                     ,64 icce                                                                                                                      ,akó         ,Buda (c.1730-18th c. end) (liq vol)    ,budai (1730k.–18. sz. vége)            ,volume (liquid)  ,"Bogdán 1991, 31."                                       ,58.60
erdélyi icce𝅳                  ,1/16 vöd.                                                                                                                    ,icce        ,Transylvanian (-1823)                  ,erdélyi (–1823)                        ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,0.6816
erdélyi (folyadék) kupa𝅳       ,2 icce                                                                                                                       ,kupa        ,Transylvanian (-1823)                  ,erdélyi (–1823)                        ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,1.3623
erdélyi vödör𝅳                 ,8 kupa                                                                                                                       ,vöd.        ,Transylvanian (-1823)                  ,erdélyi (–1823)                        ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,10.9
erdélyi kis hordó𝅳             ,"nagykereskedelmi, 20 vöd."                                                                                                  ,kihor.      ,Transylvanian (-1823)                  ,erdélyi (–1823)                        ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,218.0
erdélyi földes hordó𝅳          ,"nagykereskedelmi, 40 vöd., 2 kihor."                                                                                        ,föhor.      ,Transylvanian (-1823)                  ,erdélyi (–1823)                        ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,436.0
erdélyi öreg hordó𝅳            ,"nagykereskedelmi, 80 vöd., 2 föhor."                                                                                        ,örhor.      ,Transylvanian (-1823)                  ,erdélyi (–1823)                        ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,872.0
erdélyi messzely𝅴              ,1/32 vöd.                                                                                                                    ,messz.      ,Transylvanian (1823-1874)              ,erdélyi (1823–1874)                    ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,0.3537
erdélyi icce𝅴                  ,2 messz.                                                                                                                     ,icce        ,Transylvanian (1823-1874)              ,erdélyi (1823–1874)                    ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,0.7074
erdélyi (folyadék) kupa𝅴       ,"2 icce, a bécsi pint adoptálása."                                                                                           ,kupa        ,Transylvanian (1823-1874)              ,erdélyi (1823–1874)                    ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,1.4147
erdélyi vödör𝅴                 ,8 kupa                                                                                                                       ,vöd.        ,Transylvanian (1823-1874)              ,erdélyi (1823–1874)                    ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,11.32
erdélyi (folyadék) köböl𝅴      ,8 vöd.                                                                                                                       ,köb.        ,Transylvanian (1823-1874)              ,erdélyi (1823–1874)                    ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,90.54
erdélyi kis hordó𝅴             ,"nagykereskedelmi, 5 vöd."                                                                                                   ,kihor.      ,Transylvanian (1823-1874)              ,erdélyi (1823–1874)                    ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,56.6
erdélyi közepes hordó𝅴         ,"nagykereskedelmi, 10 vöd., 2 kihor."                                                                                        ,köhor.      ,Transylvanian (1823-1874)              ,erdélyi (1823–1874)                    ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,112.2
erdélyi nagy hordó𝅴            ,"nagykereskedelmi, 40 vöd., 4 köhor."                                                                                        ,nahor.      ,Transylvanian (1823-1874)              ,erdélyi (1823–1874)                    ,volume (liquid)  ,"Bogdán 1991, 32–33."                                    ,452.8
bihari icce                   ,1/100 nagy csöbör                                                                                                            ,icce        ,Bihar (liq vol)                        ,bihari                                 ,volume (liquid)  ,"Bodgán 1991, 31."                                       ,0.8393
bihari pint                   ,2 icce                                                                                                                       ,pint        ,Bihar (liq vol)                        ,bihari                                 ,volume (liquid)  ,"Bodgán 1991, 31."                                       ,1.6786
bihari kis csöbör             ,"50 icce, 25 pint"                                                                                                           ,kcsöb.      ,Bihar (liq vol)                        ,bihari                                 ,volume (liquid)  ,"Bodgán 1991, 31."                                       ,41.97
bihari nagy csöbör            ,"2 kis csöbör"                                                                                                               ,ncsöb.      ,Bihar (liq vol)                        ,bihari                                 ,volume (liquid)  ,"Bodgán 1991, 31."                                       ,83.93
gramm                         ,SI mértékegység: 10⁻³kg                                                                                                      ,g           ,SI                                     ,metrikus                               ,weight           ,SI 2009.                                                 ,0.001
dekagramm                     ,SI mértékegység: 10⁻²kg                                                                                                      ,dag         ,SI                                     ,metrikus                               ,weight           ,SI 2009.                                                 ,0.01
kilogramm                     ,A súly SI-alapegysége.                                                                                                       ,kg          ,SI                                     ,metrikus                               ,weight           ,SI 2009.                                                 ,1.0
tonna                         ,"Engedélyezett, nem SI-mértékegység: 10³kg"                                                                                  ,t           ,accepted non-SI                        ,metrikus                               ,weight           ,SI 2009.                                                 ,1000.0
grain                         ,Egy gabonaszem súlya: 1/7000 lb av.                                                                                          ,gr av.      ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,1995 No. 1804.                                           ,6.479891e-05
dram                          ,A drachma szóból: 1/256 lb av.                                                                                               ,dr av.      ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,1995 No. 1804.                                           ,0.0017718451953125
ounce                         ,av. uncia: 16 dr av.                                                                                                         ,oz av.      ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,1995 No. 1804.                                           ,0.028349523125
pound                         ,av. font: 16 oz av.                                                                                                          ,lb av.      ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,1995 No. 1804.                                           ,0.45359237
stone                         ,av. mérőkő: 14 lb av.                                                                                                        ,st av.      ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,1995 No. 1804.                                           ,6.35029318
quarter                       ,"negyed hundredweight, 2 st av., 28 lb av."                                                                                  ,qr av.      ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,1995 No. 1804.                                           ,12.70058636
hundredweight (USA)           ,"am. un. ""short"" hundredweight: 100 lb av."                                                                                ,CH          ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,"Cardarelli 2003, 45."                                   ,45.359237
hundredweight (UK)            ,"brit un. ""long"" hundredweight: 112 lb av."                                                                                ,cwt (long)  ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,1995 No. 1804.                                           ,50.80234544
ton (USA)                     ,"am. un. ""short"" ton: 2000 lb av."                                                                                         ,ton (short) ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,"Cardarelli 2003, 45."                                   ,907.18474
ton (UK)                      ,"brit un. ""long"" ton: 2240 lb av."                                                                                         ,ton (long)  ,Avoirdupois                            ,angolszász avoirdupois                 ,weight           ,1995 No. 1804.                                           ,1016.0469088
grain (troy)                  ,Egy gabonaszem súlya: 1/5760 lb t.                                                                                           ,gr t.       ,Troy                                   ,angolszász troy                        ,weight           ,"Cardarelli 2003, 39."                                   ,0.00012959782
pennyweight (troy)            ,Egy régi ezüstpenny súlya: 24 gr t.                                                                                          ,dwt         ,Troy                                   ,angolszász troy                        ,weight           ,"Cardarelli 2003, 39."                                   ,0.0017718451953125
ounce (troy)                  ,troy uncia: 20 dwt t.                                                                                                        ,oz t.       ,Troy                                   ,angolszász troy                        ,weight           ,1995 No. 1804.                                           ,0.0311034768
pound (troy)                  ,troy font: 12 oz t.                                                                                                          ,lb t.       ,Troy                                   ,angolszász troy                        ,weight           ,"Cardarelli 2003, 39."                                   ,0.3732417216
grain (apoth.)                ,Egy gabonaszem súlya: 1/5760 lb ap.                                                                                          ,gr ap.      ,Apothecaries                           ,angolszász patikai                     ,weight           ,"Cardarelli 2003, 38."                                   ,6.479891e-05
scruple (apoth.)              ,"lat. scrupulum szóból, 20 gr ap."                                                                                           ,scr ap.     ,Apothecaries                           ,angolszász patikai                     ,weight           ,"Cardarelli 2003, 38."                                   ,0.0012959782
dram (apoth.)                 ,"a drachma szóból, 3 scr ap."                                                                                                ,dr ap.      ,Apothecaries                           ,angolszász patikai                     ,weight           ,"Cardarelli 2003, 38."                                   ,0.0038879346
ounce (apoth.)                ,ang. gyógyszertári uncia: 8 dr ap.                                                                                           ,oz ap.      ,Apothecaries                           ,angolszász patikai                     ,weight           ,"Cardarelli 2003, 38."                                   ,0.0311034768
pound (apoth.)                ,ang. gyógyszertári font: 12 oz ap.                                                                                           ,lb ap.      ,Apothecaries                           ,angolszász patikai                     ,weight           ,"Cardarelli 2003, 38."                                   ,0.3732417216
δραχμή (drachmé)𝅳              ,"Végig változatlan súly, az arány igazodik: 1/6300 tal."                                                                     ,drach.      ,Attic Solonic                          ,"attikai (""solóni"")"                 ,weight           ,"Egger, Jochen, and Smart 2010, 462."                    ,0.004366
ἡμιστάτηρον (hémistatéron)𝅳    ,"jel. ""félstatéros"", 105 drach."                                                                                           ,hstat.      ,Attic Solonic                          ,"attikai (""solóni"")"                 ,weight           ,"Egger, Jochen, and Smart 2010, 462."                    ,0.45843
στατήρ (statér)𝅳               ,"2 hstat., 210 drach."                                                                                                       ,stat.       ,Attic Solonic                          ,"attikai (""solóni"")"                 ,weight           ,"Egger, Jochen, and Smart 2010, 462."                    ,0.91686
τάλαντον (talanton)𝅳           ,A rendszer alapmértéke: 30 stat.                                                                                             ,tal.        ,Attic Solonic                          ,"attikai (""solóni"")"                 ,weight           ,"Egger, Jochen, and Smart 2010, 462."                    ,27.506
δραχμή (drachmé)𝅴              ,"Végig változatlan súly, az arány igazodik: 1/6600 tal."                                                                     ,drach.      ,Attic Late Classical                   ,attikai (késő klasszikus)              ,weight           ,"Egger, Jochen, and Smart 2010, 462."                    ,0.004366
μνᾶ (mina)𝅴                    ,110 drach.                                                                                                                   ,mna         ,Attic Late Classical                   ,attikai (késő klasszikus)              ,weight           ,"Egger, Jochen, and Smart 2010, 462."                    ,0.48026
στατήρ (statér)𝅴               ,"2 mna, 220 drach."                                                                                                          ,stat.       ,Attic Late Classical                   ,attikai (késő klasszikus)              ,weight           ,"Egger, Jochen, and Smart 2010, 462."                    ,0.96052
τάλαντον (talanton)𝅴           ,A rendszer alapmértéke: 30 stat.                                                                                             ,tal.        ,Attic Late Classical                   ,attikai (késő klasszikus)              ,weight           ,"Egger, Jochen, and Smart 2010, 462."                    ,28.816)
δραχμή (drachmé)𝅵              ,"Végig változatlan súly, az arány igazodik: 1/8280 tal."                                                                     ,drach.      ,Early Hellenistic                      ,korai hellenisztikus                   ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.004366
μνᾶ (mina)𝅵                    ,138 drach.                                                                                                                   ,mna         ,Early Hellenistic                      ,korai hellenisztikus                   ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.602508
στατήρ (statér)𝅵               ,"2 mna, 276 drach."                                                                                                          ,stat.       ,Early Hellenistic                      ,korai hellenisztikus                   ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,1.205016
τάλαντον (talanton)𝅵           ,A rendszer alapmértéke: 30 stat.                                                                                             ,tal.        ,Early Hellenistic                      ,korai hellenisztikus                   ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,36.15
δραχμή (drachmé)𝅶              ,"Végig változatlan súly, az arány igazodik: 1/9000 tal."                                                                     ,drach.      ,Late Hellenistic                       ,késői hellenisztikus                   ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.004366
μνᾶ (mina)𝅶                    ,150 drach.                                                                                                                   ,mna         ,Late Hellenistic                       ,késői hellenisztikus                   ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.6549
két mina [n.n.]𝅶               ,"A mérték korabeli neve ismeretlen, 300 drach."                                                                              ,stat.       ,Late Hellenistic                       ,késői hellenisztikus                   ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,1.3098
τάλαντον (talanton)𝅶           ,A rendszer alapmértéke: 60 mna                                                                                               ,tal.        ,Late Hellenistic                       ,késői hellenisztikus                   ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,39.294
siliqua                       ,"jel. ""(zöldség)hüvely"", 1/6 scr."                                                                                         ,sil.        ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.000189
lupinus                       ,"jel. ""farkasbab"", 1/4 scr."                                                                                               ,lup.        ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.000284
obolus                        ,"gör. obolosból: 1/6 drach., 1/2 scr."                                                                                       ,ob.         ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.000568
scripulum𝅴                     ,1/24 un.                                                                                                                     ,scr.        ,Roman (uncia fraction)                 ,római (uncia törtrészei)               ,weight           ,"Egger, Jochen, and Smart 2010, 463."                    ,0.001137
